Easting (m),Northing (m),Elevation (m),Gravity Anomaly (mGal)
312565.7698,4840722.822,1665.256,-4.97893
312259.9223,4842375.244,1649.75,-7.98572
310569.5453,4842447.396,1645.364,-17.0153
309398.6446,4842465.45,1645.988,-15.3844
307689.5584,4842588.81,1672.315,-12.4767
306591.6012,4843362.62,1729.753,-12.3672
308012.7092,4844518.737,1666.737,-14.8388
309417.8667,4844493.342,1653.232,-16.103
311527.9614,4844427.48,1650.766,-14.0236
312444.2771,4844402.43,1651.321,-6.8797
308693.8216,4847330.359,1671.569,-19.309
309631.1411,4847307.093,1667.709,-19.9688
310305.6218,4847279.909,1662.066,-19.5783
310967.1547,4847259.854,1662.329,-19.6219
311765.1757,4847217.316,1661.919,-18.1032
285026.7104,4871086.974,1851.317,-33.2111
312703.804,4847169.917,1686.211,-13.3082
313384.2648,4847156.064,1732.905,-10.0068
313942.514,4847043.215,1782.471,-7.51587
314409.4948,4847108.538,1811.409,-7.23628
316722.7084,4844829.911,1940.509,-0.584118
317374.8151,4844110.447,1886.492,-0.555399
317893.8676,4843702.886,1867.327,-5.96957
318628.1002,4843350.097,1830.117,-9.0014
320243.5313,4842773.549,1769.277,-10.8525
320201.6187,4841369.675,1734.052,-16.1789
320186.2202,4840527.493,1719.188,-15.8387
308844.0642,4851566.833,1686.128,-25.5011
308797.1905,4850552.216,1687.216,-23.2817
308768.8378,4849753.206,1686.303,-22.3172
308745.5756,4848879.193,1681.682,-20.5243
308672.1531,4846531.196,1665.65,-18.6456
308647.8357,4845720.774,1660.562,-18.1869
308622.9609,4844013.185,1654.002,-15.8812
308595.0217,4843385.298,1655.587,-15.1711
308563.2329,4842499.45,1647.966,-13.8555
308530.828,4841689.359,1645.025,-14.0096
308014.9243,4848964.505,1686.121,-19.2355
309547.6637,4848909.036,1676.347,-22.269
310543.0835,4848859.476,1668.005,-21.924
311304.8486,4848831.362,1667.307,-20.2441
311784.0097,4849095.489,1679.528,-18.0847
312543.1843,4848415.05,1694.894,-15.1458
312651.6703,4846298.067,1668.808,-11.8195
284964.1617,4858073.074,2469.281,-27.9368
285840.3497,4859053.956,2443.827,-33.91
286862.9426,4860139.586,2283.557,-36.7009
286892.7665,4861232.682,2194.367,-34.1161
287573.2843,4861926.586,2096.934,-34.523
287809.6429,4863299.369,1995.325,-32.5949
288705.9813,4863898.792,1890.697,-34.1396
289940.4914,4864198.118,1801.344,-36.2053
290011.4536,4865280.095,1786.528,-36.573
290685.9464,4866161.778,1786.998,-37.6372
291958.5375,4865596.612,1804.123,-39.4161
292084.7788,4866427.15,1851.11,-38.1928
292200.3727,4867184.834,1888.872,-37.2852
292263.8407,4867964.643,1929.62,-35.7966
297265.946,4859145.727,1759.584,-35.8062
296122.5322,4859984.909,1769.6,-41.4405
294392.8111,4861008.04,1763.74,-43.1146
293037.0115,4862076.794,1765.865,-43.8927
295592.6713,4868602.106,2094.748,-22.3107
295071.8537,4868035.029,2013.976,-29.1229
295424.4575,4867436.903,1950.299,-31.5681
295513.7592,4866702.192,1888.792,-35.7014
295325.6425,4866034.131,1843.88,-38.8592
295432.444,4865121.413,1780.715,-41.8892
296331.6241,4865004.636,1769.974,-43.0771
293780.6379,4865089.043,1799.884,-42.9822
292823.0854,4865207.533,1804.702,-41.7983
287916.148,4855390.004,2035.334,-33.2123
288593.7111,4855393.999,2014.234,-31.705
289322.8789,4855431.176,1983.147,-28.7451
289928.0808,4855517.995,1958.906,-29.6117
290629.0728,4855697.566,1938.237,-27.8056
291195.5577,4855965.43,1918.547,-26.6282
291988.9741,4855912.41,1929.408,-24.7322
292608.9714,4856351.079,1905.688,-24.351
293798.1038,4857234.86,1891.768,-25.8535
294480.7048,4858210.485,1818.706,-30.608
295155.7014,4858514.828,1798.82,-30.0538
294383.1321,4860094.357,1779.116,-38.8218
296424.4171,4862542.456,1752.784,-51.596
292762.9612,4861093.487,1794.268,-40.5773
286717.6615,4876154.504,2129.677,-21.3071
286608.0194,4875890.025,2114.64,-24.8449
286441.2826,4875137.313,2088.161,-29.7386
286506.7091,4874409.859,2057.344,-31.0113
286735.4254,4873563.221,2019.758,-31.9565
286700.2361,4872802.04,1985.393,-32.8508
286580.2632,4871943.198,1942.451,-32.8667
286467.8803,4871194.498,1901.112,-33.4425
285944.2907,4870448.351,1852.942,-31.5976
286956.206,4869317.916,1811.107,-30.1993
287796.8269,4869185.763,1814.012,-31.6518
288344.9844,4868624.927,1806.245,-33.0722
288898.9399,4867944.876,1802.077,-35.2264
289291.9893,4867265.88,1796.888,-35.9049
291332.379,4867703.54,1896.61,-36.6162
291014.0084,4868636.109,1934.222,-34.2121
290499.0475,4869434.479,1942.808,-33.2307
290933.0873,4870246.002,1992.377,-32.0758
289705.6114,4870987.931,2019.68,-28.4821
288945.0335,4871478.034,2005.093,-30.2121
287977.1727,4872099.65,2009.066,-28.9239
279689.9202,4869277.038,1949.059,-32.2351
279764.0729,4868348.309,1999.463,-31.7067
279973.861,4867335.931,2055.486,-30.4851
280269.5787,4866713.302,2099.444,-28.158
283210.481,4878681.592,2270.367,-24.6207
282767.7495,4877991.678,2212.702,-30.9746
282408.059,4877282.956,2159.183,-34.9147
282131.7401,4876547.398,2104.431,-37.5752
281669.5624,4875920.863,2050.869,-39.9519
281194.733,4875269.202,1995.21,-41.1357
280732.9347,4874591.044,1936.774,-40.8486
280253.0133,4873905.874,1880.261,-39.3311
280078.5095,4873401.067,1852.912,-37.5395
278993.8099,4878953.702,2049.86,-37.2974
279007.5894,4879482.867,2070.414,-32.7123
278457.7194,4878334.733,1999.468,-41.9516
277630.318,4877072.434,1902.813,-45.9032
278762.2538,4875106.177,1877.011,-41.935
277425.1068,4875149.282,1858.343,-46.1163
276629.3347,4875975.123,1863.469,-48.9867
275186.5694,4876320.263,1871.565,-50.0666
274277.4527,4875693.984,1874.687,-48.6441
273570.6555,4875219.045,1876.527,-47.0819
275522.3867,4865176.376,2648.651,-21.3099
275580.4582,4866222.788,2528.27,-22.7878
275177.0812,4867082.799,2493.976,-23.2588
274686.9296,4867754.343,2443.467,-27.4212
275404.1487,4868266.846,2316.812,-29.7789
274759.8294,4868699.982,2192.327,-30.4642
274863.1448,4869613.847,2081.781,-35.106
275079.7435,4871230.739,1924.039,-39.9846
275112.1288,4872153.159,1887.441,-41.9307
273271.0383,4871732.234,1926.93,-36.8666
273489.1524,4872921.413,1894.658,-40.9156
273520.6553,4873901.369,1876.013,-43.5415
273589.5123,4875974.585,1879.508,-48.3681
273611.188,4876785.065,1882.355,-49.782
273640.6384,4877947.434,1886.636,-50.6892
275178.5025,4875370.511,1867.831,-49.0402
275131.4387,4874317.68,1865.707,-47.4861
274356.1614,4874332.382,1869.648,-46.6387
275538.1197,4874120.59,1863.072,-47.1592
275507.276,4873061.911,1870.303,-45.1354
279151.1056,4869000.377,2050.749,-33.4632
279229.9952,4869820.676,1967.123,-33.6563
278729.1797,4870790.573,1920.274,-37.3903
279277.6693,4871354.491,1867.447,-37.2119
277764.2088,4871638.576,1874.11,-40.0733
276906.5609,4871993.158,1870.779,-41.6386
276264.7857,4872666.537,1865.167,-43.5165
275058.2219,4872696.998,1879.142,-43.7459
274304.809,4872715.768,1890.53,-42.7714
272736.8439,4874760.149,1880.014,-45.1055
271186.7747,4875610.47,1890.429,-41.3015
271171.2602,4876624.504,1895.993,-44.3194
271942.8957,4876017.962,1889.035,-45.743
272790.6322,4875985.635,1883.959,-47.2592
272157.8693,4876776.69,1891.144,-47.601
271473.0028,4877647.585,1898.231,-47.1232
270812.9514,4878479.547,1906.029,-46.0703
270168.9344,4879238.543,1913.317,-45.7331
270040.8178,4880102.221,1915.929,-46.7085
270060.191,4880885.947,1918.111,-48.281
269055.0775,4880915.115,1925.302,-45.9142
268773.9452,4880335.068,1926.902,-45.3101
263321.8059,4879111.335,1966.482,-37.5546
264622.6326,4880034.105,1955.364,-40.0601
266142.5894,4880518.394,1944.543,-40.9
267065.068,4880933.968,1939.269,-42.8254
268555.1399,4881876.946,1923.272,-46.2919
270136.338,4881703.719,1916.987,-48.9309
272982.6375,4878699.451,1893.457,-50.439
272500.6739,4879218.51,1897.846,-50.2657
271831.5465,4879942.643,1904.059,-49.975
271162.259,4880668.319,1910.129,-49.7481
269464.1348,4882545.187,1917.956,-47.9939
269459.666,4883380.987,1917.598,-48.0554
269480.9436,4884191.282,1912.972,-47.2811
269488.8056,4885047.823,1909.429,-46.0619
266465.0471,4882374.254,1935.859,-40.9656
267407.1833,4882585.459,1932.286,-42.088
268140.8082,4882755.427,1926.392,-44.5421
268959.7671,4882986.735,1922.012,-46.6884
269917.3138,4883192.918,1916.343,-48.8046
270666.8235,4883307.576,1910.876,-49.2047
270699.4184,4884468.819,1905.924,-48.6922
272162.7445,4883225.012,1900.941,-45.182
276923.4347,4881207.278,2152.653,-25.9083
276430.6877,4880740.984,2044.115,-32.4451
275677.1843,4879747.345,1896.263,-41.4474
274341.226,4881695.44,1899.509,-39.8671
273410.1481,4882924.282,1923.85,-39.3476
273967.2911,4883982.842,2078.502,-30.8389
264924.6544,4899061.036,2061.29,-33.0122
265629.7953,4897108.031,2000.045,-39.6541
266221.3078,4895462.542,1950.515,-44.502
266780.6737,4893903.218,1932.949,-48.0921
267665.4207,4891527.952,1931.461,-49.5631
273241.332,4890484.04,2244.506,-24.5361
272802.963,4890676.764,2189.78,-27.3632
272459.5774,4890508.979,2159.3,-29.7375
271998.4838,4890351.292,2121.899,-31.9495
271461.1478,4890047.822,2082.191,-34.3581
270952.4496,4889775.539,2049.955,-37.1066
271970.9052,4886217.545,1911.443,-38.7223
272505.209,4885107.424,1902.82,-40.9155
264202.1024,4897805.975,2014.095,-33.0683
263881.0059,4896674.752,1985.394,-33.6412
263546.3724,4895470.418,1952.197,-36.3682
263300.3845,4894360.898,1929.063,-41.1939
264520.073,4893995.626,1919.954,-48.5663
262854.6137,4892937.824,1923.748,-44.2401
262653.0389,4891770.415,1921.01,-46.4474
262470.878,4890687.654,1937.645,-47.613
262212.856,4889533.179,1950.582,-48.2314
261932.7628,4888473.59,1960.963,-46.775
261668.266,4886903.625,1984.77,-47.4937
261462.1496,4885769.046,2001.586,-46.0783
261283.6542,4884835.214,2008.938,-44.5848
261030.8815,4883517.576,2019.29,-41.3019
260721.1832,4882309.582,2018.808,-38.5659
260545.2499,4881171.885,2000.031,-39.2096
258303.5009,4885205.082,2060.245,-34.7865
259534.7472,4885031.22,2045.243,-41.3184
263625.0086,4883058.72,1988.5,-42.8927
303653.2222,4852429.91,1710.324,-23.181
305041.5978,4852384.252,1705.993,-23.9666
306182.4232,4857188.855,1703.435,-31.5652
307406.6926,4857154.388,1699.641,-29.7731
307412.525,4858403.032,1711.222,-28.1462
309047.0819,4857101.578,1724.28,-23.7728
311064.6335,4856210.796,1784.763,-16.8238
311041.688,4856982.951,1838.058,-12.868
310109.042,4857076.113,1780.588,-19.7609
309774.4483,4858298.755,1796.993,-18.1155
309085.2968,4859541.949,1803.615,-21.124
270502.0275,4871127.668,2137.784,-35.1813
271812.1112,4872024.127,2013.777,-37.1634
272278.031,4873580.256,1901.287,-41.5641
270724.7341,4873639.524,1943.455,-39.3141
270739.2926,4875198.029,1900.352,-39.8294
270109.5053,4876546.96,1913.024,-40.1408
270008.5141,4878044.542,1906.952,-43.6294
265600.4581,4890686.874,1905.986,-51.6205
265569.9153,4889522.73,1908.761,-50.4021
265527.0369,4888390.993,1915.83,-49.1897
265483.7625,4887048.825,1922.848,-47.1117
321282.6392,4831223.921,1648.389,13.7005
321897.4556,4832751.416,1734.764,15.1827
